step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0011733811115846038,0.0012414641678333282,0.0006177271134220064,0.0006177271134220064,,,,
2,,,,,0.000650073285214603,0.0008870961610227823,0.00034721402334980667,0.00034721402334980667,,,,
3,,,,,0.00047195429215207696,0.0006458258139900863,0.00025212278706021607,0.00025212278706021607,,,,
4,,,,,0.0002793711028061807,0.0005122242728248239,0.00015249116404447705,0.00015249116404447705,,,,
5,,,,,0.00021661723440047354,0.00040128405089490116,0.00011834071483463049,0.00011834071483463049,,,,
6,,,,,0.00016714098455850035,0.000299086474115029,9.104765922529623e-05,9.104765922529623e-05,,,,
7,,,,,0.0001508125860709697,0.00026175446691922843,8.195015107048675e-05,8.195015107048675e-05,,,,
8,,,,,0.00013638034579344094,0.00023807024990674108,7.414191350108013e-05,7.414191350108013e-05,,,,
9,,,,,0.0001235250529134646,0.00021900987485423684,6.723776459693909e-05,6.723776459693909e-05,,,,
10,0.00011863161489600316,0.0001680754794506356,6.351769843604416e-05,6.351769843604416e-05,0.00014348601689562201,0.00023709930246695876,7.767049100948498e-05,7.767049100948498e-05,98.9826975561071,99.15254237288134,3.770640508366017,3.3602308395419427
11,,,,,0.00011725406511686742,0.00019867157971020788,6.359381950460374e-05,6.359381950460374e-05,,,,
12,,,,,0.00013318628771230578,0.00021593224664684385,7.199146057246253e-05,7.199146057246253e-05,,,,
13,,,,,0.0001356069406028837,0.00021586242655757815,7.320001896005124e-05,7.320001896005124e-05,,,,
14,,,,,0.00011752088903449476,0.00018258353520650417,6.332502380246297e-05,6.332502380246297e-05,,,,
15,,,,,0.00011111389176221564,0.00017880082305055112,6.0026963183190674e-05,6.0026963183190674e-05,,,,
16,,,,,9.542505722492933e-05,0.0001614197826711461,5.1748022087849677e-05,5.1748022087849677e-05,,,,
17,,,,,0.00010088100680150092,0.00016299879644066095,5.451547622215003e-05,5.451547622215003e-05,,,,
18,,,,,0.00010445681982673705,0.0001665107993176207,5.639118535327725e-05,5.639118535327725e-05,,,,
19,,,,,9.566269727656618e-05,0.00014968404138926417,5.1573446398833767e-05,5.1573446398833767e-05,,,,
20,5.87695867579896e-05,9.931265958584845e-05,3.186761023243889e-05,3.186761023243889e-05,0.00011054240167140961,0.00017193422536365688,5.956956010777503e-05,5.956956010777503e-05,99.8019801980198,99.83050847457626,2.6292393487474697,2.5164514802631577
21,,,,,9.932201646734029e-05,0.0001499903592048213,5.341076757758856e-05,5.341076757758856e-05,,,,
