step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
41,,,,,8.53578676469624e-05,0.00012570810213219374,4.5821630919817835e-05,4.5821630919817835e-05,,,,
42,,,,,7.380254828603938e-05,0.00010971240408252925,3.96440846088808e-05,3.96440846088808e-05,,,,
43,,,,,8.025128772715107e-05,0.00011837527563329786,4.308502684580162e-05,4.308502684580162e-05,,,,
44,,,,,7.99087283667177e-05,0.00012352412159089,4.3042466131737456e-05,4.3042466131737456e-05,,,,
45,,,,,8.336755854543298e-05,0.00012036231782985851,4.469283521757461e-05,4.469283521757461e-05,,,,
46,,,,,8.104353037197143e-05,0.00011660692689474672,4.3436939449748024e-05,4.3436939449748024e-05,,,,
47,,,,,9.427658369531855e-05,0.00013218125968705863,5.0442820793250576e-05,5.0442820793250576e-05,,,,
48,,,,,8.37952975416556e-05,0.00012403150321915746,4.4998436351306736e-05,4.4998436351306736e-05,,,,
49,,,,,8.02286303951405e-05,0.00011390008876333013,4.296181941754185e-05,4.296181941754185e-05,,,,
50,5.683282870450057e-05,8.498274837620556e-05,3.054098124266602e-05,3.054098124266602e-05,7.220612314995378e-05,0.00010766743798740208,3.879475480061956e-05,3.879475480061956e-05,99.8019801980198,99.83050847457626,2.409376383793016,2.3058139689297854
51,,,,,7.840972830308601e-05,0.00011495246144477278,4.2078674596268684e-05,4.2078674596268684e-05,,,,
52,,,,,7.163755799410865e-05,0.0001084529867512174,3.853009548038244e-05,3.853009548038244e-05,,,,
53,,,,,9.427252371096984e-05,0.00013581599341705441,5.053166751167737e-05,5.053166751167737e-05,,,,
54,,,,,7.427144009852782e-05,0.00010567445133347064,3.9777580241207033e-05,3.9777580241207033e-05,,,,
55,,,,,8.113442163448781e-05,0.00011565179738681763,4.345850175013766e-05,4.345850175013766e-05,,,,
56,,,,,7.791652024025097e-05,0.00011451746104285121,4.182119300821796e-05,4.182119300821796e-05,,,,
57,,,,,7.037699833745137e-05,0.00010538521019043401,3.782313069677912e-05,3.782313069677912e-05,,,,
58,,,,,7.565107080154121e-05,0.00011003574763890356,4.0576429455541074e-05,4.0576429455541074e-05,,,,
59,,,,,8.574003004468977e-05,0.00011564981105038896,4.576126593747176e-05,4.576126593747176e-05,,,,
60,6.881498120492324e-05,0.00010377112630521879,3.700176966958679e-05,3.700176966958679e-05,6.593595026060939e-05,9.814550139708444e-05,3.542161357472651e-05,3.542161357472651e-05,98.72884943666782,98.9830508474576,2.8867528506136133,2.503155846813408
61,,,,,6.843382288934663e-05,9.795847290661186e-05,3.6665875086328015e-05,3.6665875086328015e-05,,,,
62,,,,,7.569279841845855e-05,0.00010537412163103,4.048075425089337e-05,4.048075425089337e-05,,,,
63,,,,,6.794683577027172e-05,0.00010169587767450139,3.6515815736493096e-05,3.6515815736493096e-05,,,,
64,,,,,8.126754983095452e-05,0.00011405792611185461,4.3485222704475746e-05,4.3485222704475746e-05,,,,
65,,,,,7.414448191411793e-05,0.00010471232963027433,3.96900468331296e-05,3.96900468331296e-05,,,,
66,,,,,7.04918711562641e-05,0.00010177226067753509,3.779024336836301e-05,3.779024336836301e-05,,,,
67,,,,,6.998779281275347e-05,9.81637422228232e-05,3.7447989598149434e-05,3.7447989598149434e-05,,,,
68,,,,,7.124256080714986e-05,0.0001017433314700611,3.816486423602328e-05,3.816486423602328e-05,,,,
69,,,,,7.803433254593983e-05,0.00010725080210249871,4.1698436689330265e-05,4.1698436689330265e-05,,,,
70,5.353732922230847e-05,7.975154585437849e-05,2.876244980143383e-05,2.876244980143383e-05,7.008764077909291e-05,9.775935905054212e-05,3.748780000023544e-05,3.748780000023544e-05,100.0,100.0,2.4875396852068574,2.411214025603183
71,,,,,9.182986832456663e-05,0.00012686398986261338,4.9086531362263486e-05,4.9086531362263486e-05,,,,
72,,,,,7.031847053440288e-05,9.956714347936213e-05,3.764841676456854e-05,3.764841676456854e-05,,,,
73,,,,,6.58720891806297e-05,9.450603101868182e-05,3.529869354679249e-05,3.529869354679249e-05,,,,
74,,,,,7.159919914556667e-05,0.00010288326302543283,3.837168333120644e-05,3.837168333120644e-05,,,,
