step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
135,,,,,3.488017318886705e-05,7.28995946701616e-05,1.9262577552581206e-05,1.9262577552581206e-05,,,,
136,,,,,3.463250322965905e-05,6.820279668318108e-05,1.902131953102071e-05,1.902131953102071e-05,,,,
137,,,,,4.6844917960697785e-05,8.830464503262192e-05,2.5630077288951725e-05,2.5630077288951725e-05,,,,
138,,,,,4.050903226016089e-05,7.906981772975996e-05,2.2231262846617028e-05,2.2231262846617028e-05,,,,
139,,,,,4.7465866373386234e-05,8.842004899634048e-05,2.594343459350057e-05,2.594343459350057e-05,,,,
140,2.29280431085499e-05,3.503484185785055e-05,1.2339892236923333e-05,1.2339892236923333e-05,3.97907970182132e-05,7.920874486444518e-05,2.1875621314393356e-05,2.1875621314393356e-05,100.0,100.0,1.3717475518947695,1.3717474588533727
141,,,,,5.0991755415452644e-05,9.299280645791441e-05,2.7820698960567825e-05,2.7820698960567825e-05,,,,
142,,,,,3.756190199055709e-05,7.428682874888182e-05,2.0638119167415425e-05,2.0638119167415425e-05,,,,
143,,,,,4.186223668511957e-05,7.866630039643496e-05,2.289778240083251e-05,2.289778240083251e-05,,,,
144,,,,,3.198206104571e-05,6.133239367045462e-05,1.7524340364616364e-05,1.7524340364616364e-05,,,,
145,,,,,3.7667658034479246e-05,7.595852366648614e-05,2.0732790289912373e-05,2.0732790289912373e-05,,,,
146,,,,,5.309910193318501e-05,9.286762360716239e-05,2.887124355765991e-05,2.887124355765991e-05,,,,
147,,,,,3.750012911041267e-05,7.657497189939022e-05,2.0664439944084734e-05,2.0664439944084734e-05,,,,
148,,,,,3.544142236933112e-05,7.105184340616688e-05,1.9497008906910196e-05,1.9497008906910196e-05,,,,
149,,,,,3.5717905120691285e-05,7.330116932280362e-05,1.969148070202209e-05,1.969148070202209e-05,,,,
150,2.4359265808016062e-05,3.4450717066647485e-05,1.3040902558714151e-05,1.3040902558714151e-05,3.733514677151106e-05,7.603553240187466e-05,2.056846278719604e-05,2.056846278719604e-05,100.0,100.0,1.3497383303758574,1.3392656010352761
151,,,,,3.0589872039854527e-05,6.282371032284573e-05,1.6865527868503705e-05,1.6865527868503705e-05,,,,
152,,,,,3.0445842639892362e-05,6.492148531833664e-05,1.6845957361510955e-05,1.6845957361510955e-05,,,,
153,,,,,4.02369987568818e-05,7.771994569338858e-05,2.2061496565584093e-05,2.2061496565584093e-05,,,,
154,,,,,3.9992821257328615e-05,7.661020936211571e-05,2.1911664589424618e-05,2.1911664589424618e-05,,,,
155,,,,,3.535560972522944e-05,7.338747673202306e-05,1.9512492144713178e-05,1.9512492144713178e-05,,,,
156,,,,,3.918386937584728e-05,7.77747918618843e-05,2.153630521206651e-05,2.153630521206651e-05,,,,
157,,,,,3.344525248394348e-05,6.754158675903454e-05,1.8411166820442304e-05,1.8411166820442304e-05,,,,
158,,,,,3.320485484437086e-05,6.527901859954e-05,1.8234401068184525e-05,1.8234401068184525e-05,,,,
159,,,,,3.701247987919487e-05,7.069320417940617e-05,2.0273568225093186e-05,2.0273568225093186e-05,,,,
